game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_release_date
522570,The Last Hope,248,44,382,43,20160829000000,
1519310,AI Dungeon—Traveler Edition,800,51,562,49,20210115000000,
251570,7 Days to Die,252771,88,169358,87,20240725000000,20131213000000
248630,Kingdoms Rise,1047,41,761,39,20131118000000,
578900,Demonheart,681,91,478,91,20170324000000,
1362420,Siege Survival: Gloria Victis Prologue,970,87,248,86,20200819000000,
1549550,Haven Park,764,95,608,94,20210805000000,
943150,Nostos,894,44,569,40,20191206000000,
427030,Xuan-Yuan Sword: The Gate of Firmament,1248,71,202,82,20160225000000,
328220,Wild Season,182,24,305,31,20151207000000,
1777620,Soul Hackers 2,2074,65,1568,75,20220825000000,
339280,Strife,4872,76,2381,72,20150522000000,
